Element  (for transition metal atoms, we additionally report „state-controlled“ energies, see main paper Sec. 3.2);wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
H;-0.494597037306;-0.501290511618;-0.499018878728;-0.498826809197;-0.500144045943;-0.499940304377;-0.496448152953;-0.494116100000;-0.497271685364
H_anion;-0.510818787238;-0.511313658837;-0.516076809113;-0.509376563033;-0.513352631880;-0.510643314374;-0.493942849389;-0.496041585634;-0.439599634581
He;-2.898655674978;-2.895098118469;-2.908021634202;-2.904618001558;-2.904876136825;-2.892825138632;-2.893483166742;-2.896591890000;-2.897497111680
Li;-7.473480788577;-7.467098608823;-7.482555445946;-7.482210661578;-7.479622483523;-7.461992740566;-7.472324442557;-7.472080220000;-7.479528204862
Be;-14.662341020800;-14.636573660800;-14.659369532210;-14.666715439000;-14.648883670550;-14.629860336710;-14.654430442935;-14.661048520000;-14.647920029620
Be_cation;-14.330606545800;-14.306898664300;-14.327593138910;-14.333822818560;-14.325807199520;-14.299250031210;-14.329674076020;-14.329200461957;-14.325022217300
B;-24.651287295260;-24.619685970300;-24.647904965920;-24.652515627150;-24.638165580740;-24.612035985440;-24.642985179796;-24.649711340000;-24.635747636980
B_cation;-24.347793494320;-24.301920378560;-24.329771791670;-24.346921265740;-24.315877099430;-24.293352262980;-24.288394099142;-24.346580054898;-24.314682238890
C;-37.848235058450;-37.807199621880;-37.840214183790;-37.845562422900;-37.834641928700;-37.798385897370;-37.843634652000;-37.846441180000;-37.832237589280
C_cation;-37.432806090120;-37.384151471240;-37.419245071300;-37.429636495410;-37.405986440110;-37.374423042930;-37.372582635714;-37.431030683976;-37.403743496300
C_anion;-37.891164161960;-37.853637135020;-37.881490247390;-37.887430990600;-37.883894499260;-37.848698122280;-37.903574520406;-37.884774117007;-37.877194131510
N;-54.594962198300;-54.546259918400;-54.581744747620;-54.590970794080;-54.583277629040;-54.535253707540;-54.594402928975;-54.592662550000;-54.580982470370
O;-75.080777140670;-75.022386081480;-75.071013598640;-75.071702697920;-75.062508411820;-75.014228637590;-75.076848963642;-75.078075780000;-75.057462799350
O_cation;-74.574110181090;-74.513806896430;-74.555654185510;-74.568517747570;-74.558846349370;-74.497950508920;-74.562035260691;-74.571092965392;-74.555872998520
O_anion;-75.125610574750;-75.063735014830;-75.118579148290;-75.115485088240;-75.107676092210;-75.066259633630;-75.119142849155;-75.133000235983;-75.093131142330
F;-99.750217819290;-99.681270498280;-99.741824139980;-99.740739724670;-99.732772891600;-99.675128771860;-99.747074378896;-99.746495190000;-99.726351981280
F_cation;-99.109698851400;-99.040516027770;-99.094629774340;-99.097171334200;-99.088616724860;-99.026822633740;-99.102551171381;-99.105527363566;-99.082306390520
F_anion;-99.863774416250;-99.791330088760;-99.857932684600;-99.853577166190;-99.844785339380;-99.796870530730;-99.868969553036;-99.870194749623;-99.829164824240
Ne;-128.949033797300;-128.871094075900;-128.941878864900;-128.940837577300;-128.933609492600;-128.865396449400;-128.941863100435;-128.943945700000;-128.927335089400
Na;-162.264667717400;-162.182547953800;-162.257132109300;-162.254385310200;-162.252001951700;-162.168193489900;-162.258934625154;-162.257167340000;-162.243565661300
Mg;-200.067185501100;-199.968718342800;-200.054518818800;-200.060041534200;-200.041799146500;-199.951345326400;-200.056125956645;-200.059548520000;-200.033168330500
Mg_cation;-199.785713046100;-199.691572406700;-199.773659923300;-199.774662262800;-199.770882382600;-199.671589565400;-199.774853922825;-199.777291216943;-199.762459052200
Al;-242.355733488800;-242.256160223600;-242.345867828000;-242.350930430700;-242.338112788800;-242.235451007500;-242.336254763575;-242.347777510000;-242.328993918400
Al_cation;-242.146400936900;-242.031916318400;-242.127286059700;-242.138078867000;-242.111031833700;-242.011922686700;-242.111651898443;-242.140040084419;-242.103063295900
Si;-289.361746310000;-289.258688564200;-289.349475318600;-289.358508611800;-289.350933579900;-289.233406367000;-289.348220192213;-289.352717430000;-289.340238255900
Si_cation;-289.070339007700;-288.956700262200;-289.054385519500;-289.065193060200;-289.045313891300;-288.932219577400;-289.062505856953;-289.061693062128;-289.034270906900
Si_anion;-289.405396850100;-289.308723967300;-289.391672724500;-289.402493588400;-289.404090369000;-289.283473920500;-289.387847380249;-289.390927343316;-289.389050092800
P;-341.251533150200;-341.145593793100;-341.235706920500;-341.251847668700;-341.248676899700;-341.114963840600;-341.242501357202;-341.241718150000;-341.236945100900
P_cation;-340.874207619800;-340.758836260000;-340.857332596600;-340.872767152900;-340.858284062200;-340.729727016600;-340.859345922884;-340.864654617260;-340.846015554300
P_anion;-341.275412930600;-341.168688633600;-341.260928408700;-341.278050559600;-341.271939540200;-341.139959982400;-341.239671021529;-341.258230664247;-341.252068642900
S;-398.102226612100;-397.985844565300;-398.084915592000;-398.107513031400;-398.096064053900;-397.951809714400;-398.091452340286;-398.091529240000;-398.080933361400
S_cation;-397.719764336700;-397.603589825200;-397.700726762300;-397.724033732200;-397.714787129000;-397.568675214700;-397.721571708294;-397.709245717052;-397.701442106100
S_anion;-398.176230446900;-398.057517417400;-398.157530874200;-398.181223273200;-398.170080135500;-398.025634992100;-398.150622711271;-398.169841127804;-398.148284046700
Cl;-460.138328536400;-460.011119935100;-460.116796814500;-460.147773773200;-460.130689858600;-459.973327731400;-460.126588503890;-460.126125700000;-460.114122399200
Cl_cation;-459.661296081800;-459.535177911500;-459.640354529400;-459.669852064000;-459.652923132300;-459.496850431100;-459.657462358585;-459.649074648560;-459.635801679700
Cl_anion;-460.268478922600;-460.138935600000;-460.244552885800;-460.277999175900;-460.260491015800;-460.102884955300;-460.260752401635;-460.259973670028;-460.238310518000
Ar;-527.523871395100;-527.387160183700;-527.497226116800;-527.539650838200;-527.516013863400;-527.344512351700;-527.509491835210;-527.510037670000;-527.499923586600
Ar_cation;-526.945632507100;-526.809827130000;-526.920747947900;-526.959375825600;-526.936876797600;-526.767612848500;-526.927826430064;-526.931509698213;-526.918041401300
K;-599.891062667200;-599.751586437900;-599.865705556100;-599.911080979000;-599.883940419400;-599.704752541700;-599.883896420807;-599.879335050000;-599.870390787400
Ca;-677.540428851600;-677.389244092800;-677.513499392800;-677.573351328100;-677.519587425700;-677.343177691900;-677.533720425874;-677.528151520000;-677.505375326500
Ca_cation;-677.315730825400;-677.169008013100;-677.290743910500;-677.343430231800;-677.305993086600;-677.120136096500;-677.311436655506;-677.303221630350;-677.292079405700
Sc;-760.585350202300;-760.434151819400;-760.566103395800;-760.619037594100;-760.581866740100;-760.395672015100;-760.575781099667;-760.570749510000;-760.562778071200
Sc (state-controlled);-760.585312400000;-760.434118000000;-760.566075100000;-760.619003100000;-760.581876600000;-760.395616300000;;;
Ti;-849.313166190600;-849.161023137000;-849.301010486600;-849.344862999400;-849.321676655500;-849.125868197300;-849.298770426716;-849.296710600000;-849.298586025200
Ti (state-controlled);-849.313114400000;-849.160980900000;-849.300968100000;-849.344850800000;-849.316624300000;-849.122411900000;;;
V;-943.851254836900;-943.699518889500;-943.844879338000;-943.881963350700;-943.874859791300;-943.670227084400;-943.817824234079;-943.832722600000;-943.848374487400
V (state-controlled);-943.851146900000;-943.698436500000;-943.843935400000;-943.880897200000;-943.869268900000;-943.662064300000;;;
Cr;-1044.379620050000;-1044.249423697000;-1044.382037543000;-1044.389937737000;-1044.437274604000;-1044.224062340000;-1044.349586525942;-1044.356230900000;-1044.409705298000
Cr (state-controlled);-1044.379579000000;-1044.249393000000;-1044.382012000000;-1044.389910000000;-1044.437211000000;-1044.224042000000;;;
