System;%TAE[(T)];T_1;D_1;<S^2>
s_li_1;1,199;0,008;0,019;0.000000
s_li_2;0,289;0,006;0,012;0.000000
s_li_3;1,921;0,012;0,033;0.000000
s_li_4;2,233;0,015;0,064;0.000000
s_li_5;2,04;0,013;0,039;0.000000
s_li_6;2,786;0,014;0,049;0.000000
s_li_7;2,762;0,014;0,05;0.000000
s_li_8;1,285;0,01;0,025;0.000000
s_li_9;1,047;0,008;0,015;0.000000
s_li_10;2,112;0,013;0,035;0.000000
s_li_11;3,875;0,016;0,045;0.000000
s_li_12;3,812;0,01;0,023;0.000000
s_li_13;1,693;0,008;0,023;0.000000
s_li_14;1,252;0,009;0,016;0.000000
s_li_15;4,939;0,017;0,047;0.000000
s_li_16;4,665;0,021;0,085;0.000000
s_li_17;1,853;0,009;0,022;0.000000
s_li_18;6,832;0,016;0,04;0.000000
s_li_19;2,634;0,014;0,031;0.000000
s_li_20;1,237;0,009;0,017;0.000000
s_li_21;1,579;0,004;0,008;0.000000
s_li_22;1,6;0,011;0,028;0.000000
s_li_23;1,147;0,008;0,016;0.000000
s_li_24;4,274;0,017;0,035;0.000000
s_li_25;1,652;0,009;0,021;0.000000
s_li_26;3,36;0,015;0,063;0.000000
s_li_27;2,88;0,013;0,041;0.000000
s_li_28;2,195;0,012;0,033;0.000000
s_li_29;0,774;0,007;0,014;0.000000
s_li_30;1,875;0,01;0,026;0.000000
s_li_31;1,973;0,013;0,031;0.000000
s_li_32;1,671;0,004;0,009;0.000000
s_li_33;0,837;0,013;0,024;0.000000
s_li_34;2,015;0,012;0,038;0.000000
s_li_35;1,216;0,01;0,021;0.000000
s_li_36;0,877;0,006;0,012;0.000000
s_be_1;0,577;0,008;0,013;0.000000
s_be_2;1,209;0,009;0,02;0.000000
s_be_3;1,194;0,012;0,033;0.000000
s_be_4;2,273;0,016;0,044;0.000000
s_be_5;3,252;0,014;0,063;0.985584
s_be_6;2,401;0,007;0,021;0.000000
s_be_7;1,773;0,01;0,032;0.000000
s_be_8;0,93;0,01;0,026;0.000000
s_be_9;2,357;0,013;0,052;0.000000
s_be_10;3,807;0,01;0,033;0.000000
s_be_11;2,063;0,012;0,037;0.000000
s_be_12;2,152;0,007;0,017;0.000000
s_be_13;2,127;0,009;0,024;0.000000
s_be_14;1,069;0,008;0,017;0.000000
s_be_15;0,743;0,012;0,024;0.000000
s_be_16;1,356;0,011;0,024;0.000000
s_be_17;1,067;0,009;0,018;0.000000
s_be_18;1,71;0,008;0,02;0.000000
