System;PNO-LCCSD(T)-F12b;wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
s_li_1;-546.497890750000;-547.022329593900;-546.836143687300;-547.011518886500;-547.052795946000;-547.017099013900;-546.782755549700;-547.022426130400;-547.003280470000;-546.984599642000
s_li_2;-8.682507280000;-8.671483128100;-8.666480912400;-8.696431157900;-8.679050883300;-8.679701616300;-8.662012417600;-8.677844732500;-8.665126920000;-8.663530866500
s_li_3;-222.516543520000;-222.711632405500;-222.530089247400;-222.712476713200;-222.713260730200;-222.677430228100;-222.534389189800;-222.704523124900;-222.696660810000;-222.642896890700
s_li_4;-322.910720000000;-323.184023498700;-322.934593637700;-323.181016337500;-323.177090942100;-323.140535141700;-322.943498228700;-323.183039776700;-323.165116020000;-323.098645174700
s_li_5;-309.567150050000;-309.887002685400;-309.619017238700;-309.864941962100;-309.895732190900;-309.827513650400;-309.608417526800;-309.863499765400;-309.867044980000;-309.795644527700
s_li_6;-709.432195690000;-710.183195733300;-709.633005701200;-710.106303357600;-710.154533319400;-710.058898257300;-709.639060491600;-710.154866373800;-710.148985470000;-709.983355692800
s_li_7;-709.481236240000;-710.232712039600;-709.688634127800;-710.166930223600;-710.207538221800;-710.116419736200;-709.698726896000;-710.205416492100;-710.196479550000;-710.040158208900
s_li_8;-165.095412250000;-165.289460346500;-165.183766905000;-165.299652498800;-165.318611920800;-165.289059489300;-165.152038117700;-165.292756151600;-165.276286970000;-165.265160152500
s_li_9;-55.480427510000;-55.513121966500;-55.471693441700;-55.538187726900;-55.540531646800;-55.524318240800;-55.453899314900;-55.520065476500;-55.507513780000;-55.513028307700
s_li_10;-92.224214540000;-92.320081059800;-92.237502137400;-92.328695856800;-92.343927693600;-92.309834470100;-92.224762164200;-92.312621043900;-92.309426100000;-92.299437929900
s_li_11;-70.313410410000;-70.366580309100;-70.296606963300;-70.374663858500;-70.381303832100;-70.360707240400;-70.294739349300;-70.353133702600;-70.362812110000;-70.348365351500
s_li_12;-810.684832160000;-811.535116735900;-811.277519642800;-811.501761139500;-811.563989403900;-811.529208872500;-811.210087663000;-811.529145883400;-811.507586690000;-811.491199246100
s_li_13;-1149.721355510000;-1150.732579343000;-1150.282113520000;-1150.688684152000;-1150.775533479000;-1150.694440892000;-1150.193363440000;-1150.686314868000;-1150.694090050000;-1150.648176740000
s_li_14;-189.545641430000;-189.712159785500;-189.583233068400;-189.758862292400;-189.786562601900;-189.736124699000;-189.535495937100;-189.704852866900;-189.698409910000;-189.706973285000
s_li_15;-248.873546720000;-249.042940681700;-248.891096706700;-249.116560729600;-249.149917023500;-249.077143087300;-248.898135863300;-249.121336218500;-249.122067390000;-249.048956512500
s_li_16;-76.202912910000;-76.228405340700;-76.150214971300;-76.262077063600;-76.282634163700;-76.243797803200;-76.135636958600;-76.208667398300;-76.200944120000;-76.237645669700
s_li_17;-380.933457310000;-381.258663972500;-380.948463271900;-381.288217716500;-381.328723554300;-381.230900538400;-380.912123881500;-381.228328660700;-381.229299970000;-381.175588682600
s_li_18;-60.120185730000;-60.056404554800;-60.010483811800;-60.120472434600;-60.141678066500;-60.104436351300;-59.980003835400;-60.054827713100;-59.994571130000;-60.103195636700
s_li_19;-84.147053170000;-84.258278595000;-84.173865936100;-84.250694860700;-84.266580717000;-84.239131044700;-84.167900852500;-84.260084680500;-84.254057150000;-84.229927682000
s_li_20;-47.334295840000;-47.376292320600;-47.341793650700;-47.388381949300;-47.392400977700;-47.380685891000;-47.330976728600;-47.379074539000;-47.372033830000;-47.372678466100
s_li_21;-1869.582658190000;-1871.298039441000;-1870.735785780000;-1871.222280442000;-1871.368919859000;-1871.278615902000;-1870.569032693000;-1871.248355901800;-1871.239110180000;-1871.206315394000
s_li_22;-339.560521520000;-339.919681286500;-339.677958722100;-339.902432475200;-339.927073272000;-339.878366555200;-339.654768492900;-339.921913642500;-339.899726950000;-339.841454330700
s_li_23;-84.471473080000;-84.530730327700;-84.468011211900;-84.540069003900;-84.536104437100;-84.524663634200;-84.462798330800;-84.532595858000;-84.523032550000;-84.512269653300
s_li_24;-90.239108400000;-90.304541073700;-90.216154564200;-90.309370734400;-90.311332525600;-90.290878459400;-90.219367787500;-90.275439685600;-90.298570990000;-90.279396816600
s_li_25;-445.163223240000;-445.634513121900;-445.484759527500;-445.623596720400;-445.655505190000;-445.633604201000;-445.442467202800;-445.635981598600;-445.618814370000;-445.606219506800
s_li_26;-1233.486508280000;-1234.680287063000;-1234.128061900000;-1234.638854275000;-1234.707761470000;-1234.627100926000;-1234.076783387000;-1234.673407785600;-1234.637459470000;-1234.543788182000
s_li_27;-412.946699920000;-413.517993508200;-413.163043922700;-413.468929933300;-413.547764951900;-413.452523701000;-413.129822933000;-413.521892934100;-413.501581360000;-413.415976950600
s_li_28;-238.789159140000;-239.126857805400;-238.937808962700;-239.104264841700;-239.137979500200;-239.090726176500;-238.915424986700;-239.127350378800;-239.113943910000;-239.066690434500
s_li_29;-208.130534740000;-208.281151266600;-208.134721056100;-208.275569084300;-208.277867444500;-208.255889038200;-208.129174093100;-208.273957509900;-208.269450520000;-208.238065160300
s_li_30;-471.190801170000;-471.864704172400;-471.506225203200;-471.813152871000;-471.882981384200;-471.799643421500;-471.454215025500;-471.825590947400;-471.835889440000;-471.750597252800
s_li_31;-100.652099150000;-100.771913647600;-100.673410977900;-100.758872732000;-100.773803063500;-100.747998954300;-100.669559799800;-100.770497618800;-100.765685050000;-100.737088294900
s_li_32;-420.270078810000;-420.686022255300;-420.532339294900;-420.679878266500;-420.716465259300;-420.690007899000;-420.485708661700;-420.669734987300;-420.662916040000;-420.671679159000
s_li_33;-1378.260377540000;-1379.900231160000;-1379.506140601000;-1379.899697113000;-1379.944101352000;-1379.930392240000;-1379.371148470000;-1379.854579986800;-1379.850974650000;-1379.841054439000
s_li_34;-255.290693540000;-255.639066511300;-255.436529343000;-255.612380873700;-255.644699611400;-255.599832338200;-255.416745662900;-255.631720525700;-255.624497940000;-255.572264091600
s_li_35;-1603.255161800000;-1604.936185999000;-1604.486434321000;-1604.892880478000;-1604.979965302000;-1604.945917697000;-1604.348286223000;-1604.859336121200;-1604.886734820000;-1604.850665113000
s_li_36;-120.401929390000;-120.506437052200;-120.424461789700;-120.515121408900;-120.518872897700;-120.502875572600;-120.409395994200;-120.497637386600;-120.494352920000;-120.481143300300
s_be_1;-16.534445190000;-16.509385752700;-16.500993055500;-16.533420229200;-16.520964263100;-16.517903014200;-16.491285004700;-16.509390581000;-16.498359020000;-16.500229568200
s_be_2;-73.041888680000;-73.071342175300;-73.028157523800;-73.093796003500;-73.085661390000;-73.077559573400;-73.014951677000;-73.075848428900;-73.061446420000;-73.044672423500
s_be_3;-205.890881650000;-206.016898143500;-205.846724840500;-206.014614263600;-206.021755543300;-205.980833297100;-205.840369939200;-205.993924247500;-205.981669280000;-205.943120477000
s_be_4;-256.044469400000;-256.388014953700;-256.165293393700;-256.362167385400;-256.399167330500;-256.335969271600;-256.147992989900;-256.371700321600;-256.371018500000;-256.299216603800
s_be_5;-944.573126750000;-945.464929299100;-944.781051935100;-945.370851374300;-945.411091716300;-945.325494265900;-944.794411595300;-945.438366049700;-945.466258050000;-945.239936320100
s_be_6;-1868.924329070000;-1870.641205863000;-1870.089096839000;-1870.535841817000;-1870.693424896000;-1870.606134148000;-1869.931238827000;-1870.579476415700;-1870.578278060000;-1870.512433252000
s_be_7;-429.055676080000;-429.360078837600;-429.027859034000;-429.323704270800;-429.347645072200;-429.283340515300;-429.022043683900;-429.333326283900;-429.309237440000;-429.230686261800
s_be_8;-63.800187240000;-63.720950922300;-63.679748765600;-63.771489281200;-63.772945158100;-63.744400795700;-63.641960411700;-63.683566364800;-63.688560100000;-63.696193405300
s_be_9;-569.197618380000;-569.708065786000;-569.224898011300;-569.635604154900;-569.718904680800;-569.592974088700;-569.209184805700;-569.668299903400;-569.593121660000;-569.490129362300
s_be_10;-1650.488788570000;-1652.171352288000;-1651.633114354000;-1652.065440279000;-1652.219755209000;-1652.134876944000;-1651.485461937000;-1652.076739712600;-1652.031822400000;-1652.029966330000
s_be_11;-246.582832480000;-246.906692222300;-246.710946692600;-246.882204948000;-246.917050500300;-246.860311995600;-246.683091002300;-246.887155076400;-246.890836750000;-246.835096843600
