System/Element;PNO-LCCSD(T)-F12b
s_li_1;-546.497890750
s_li_1_H;-0.499946081761
s_li_1_Li;-7.478297181
s_li_1_C;-37.788243003
s_li_1_Cl_anion;-459.838209916
;
s_li_2;-8.682507280
s_li_2_H_anion;-0.513835210
s_li_2_H;-0.499946081761
s_li_2_Li;-7.478297998
;
s_li_3;-222.516543520
s_li_3_H;-0.499946081761
s_li_3_Li;-7.478297089
s_li_3_N;-54.527880082
s_li_3_O_anion;-75.055651315
s_li_3_O;-75.002276528
;
s_li_4;-322.910720000
s_li_4_H;-0.499946081761
s_li_4_Li;-7.478297101
s_li_4_N;-54.527881013
s_li_4_O;-75.002277790
s_li_4_F_anion;-99.790975759
;
s_li_5;-309.567150050
s_li_5_H;-0.499946081761
s_li_5_Li;-7.478297127
s_li_5_B;-24.601545519
s_li_5_C;-37.788239244
s_li_5_N;-54.527883150
s_li_5_O;-75.002280683
s_li_5_F;-99.665002867
;
s_li_6;-709.432195690
s_li_6_H;-0.499946081761
s_li_6_Li;-7.478296974
s_li_6_C;-37.788228614
s_li_6_N;-54.527870738
s_li_6_O;-75.002263876
s_li_6_F;-99.664981733
;
s_li_7;-709.481236240
s_li_7_H;-0.499946081761
s_li_7_Li;-7.478296975
s_li_7_C;-37.788228682
s_li_7_N;-54.527870817
s_li_7_O;-75.002263982
s_li_7_F;-99.664981867
;
s_li_8;-165.095412250
s_li_8_H;-0.499946081761
s_li_8_Li;-7.478296707
s_li_8_C;-37.788210012
;
s_li_9;-55.480427510
s_li_9_H;-0.499946081761
s_li_9_Li;-7.478297328
s_li_9_C;-37.788253242
;
s_li_10;-92.224214540
s_li_10_H;-0.499946081761
s_li_10_Li;-7.478297217
s_li_10_C;-37.788245478
;
s_li_11;-70.313410410
s_li_11_H;-0.499946081761
s_li_11_Li;-7.478297359
s_li_11_N;-54.527901975
;
s_li_12;-810.684832160
s_li_12_Li;-7.478297966
s_li_12_S;-397.672895535
;
s_li_13;-1149.721355510
s_li_13_Li;-7.478297767
s_li_13_F;-99.665091401
s_li_13_Cl;-459.703431665
;
s_li_14;-189.545641430
s_li_14_H;-0.499946081761
s_li_14_Li;-7.478296964
s_li_14_C;-37.788227919
;
s_li_15;-248.873546720
s_li_15_Li;-7.478297208
s_li_15_N;-54.527889707
;
s_li_16;-76.202912910
s_li_16_H;-0.499946081761
s_li_16_Li;-7.478297778
s_li_16_C;-37.788284480
;
s_li_17;-380.933457310
s_li_17_H;-0.499946081761
s_li_17_Li;-7.478297024
s_li_17_N;-54.527874758
;
s_li_18;-60.120185730
s_li_18_Li;-7.478298743
;
s_li_19;-84.147053170
s_li_19_H;-0.499946081761
s_li_19_Li;-7.478296997
s_li_19_C;-37.788230223
;
s_li_20;-47.334295840
s_li_20_H;-0.499946081761
s_li_20_Li;-7.478297037
s_li_20_C;-37.788233015
;
s_li_21;-1869.582658190
s_li_21_Li;-7.478298169
s_li_21_Cl;-459.703516645
;
s_li_22;-339.560521520
s_li_22_H;-0.499946081761
s_li_22_Li;-7.478296896
s_li_22_C;-37.788223188
s_li_22_O;-75.002255296
s_li_22_F;-99.664970944
;
s_li_23;-84.471473080
s_li_23_H;-0.499946081761
s_li_23_Li;-7.478297207
s_li_23_O;-75.002289493
;
s_li_24;-90.239108400
s_li_24_Li;-7.478297498
s_li_24_O;-75.002321455
;
s_li_25;-445.163223240
s_li_25_H;-0.499946081761
s_li_25_Li;-7.478297309
s_li_25_C;-37.788251864
s_li_25_S;-397.672782730
;
s_li_26;-1233.486508280
s_li_26_H;-0.499946081761
s_li_26_Li;-7.478297234
s_li_26_C;-37.788246681
s_li_26_N;-54.527891833
s_li_26_O;-75.002292441
s_li_26_F;-99.665017654
s_li_26_S;-397.672769939
s_li_26_Cl;-459.703318749
;
s_li_27;-412.946699920
s_li_27_H;-0.499946081761
s_li_27_Li;-7.478296825
s_li_27_C;-37.788218241
;
s_li_28;-238.789159140
s_li_28_H;-0.499946081761
s_li_28_Li;-7.478296720
s_li_28_C;-37.788210951
;
s_li_29;-208.130534740
s_li_29_H;-0.499946081761
s_li_29_Li;-7.478297360
s_li_29_F;-99.665035042
;
s_li_30;-471.190801170
s_li_30_H;-0.499946081761
s_li_30_Li;-7.478296636
s_li_30_C_cation;-37.375878645
s_li_30_C;-37.788205090
;
s_li_31;-100.652099150
s_li_31_H;-0.499946081761
s_li_31_Li;-7.478297020
s_li_31_C_cation;-37.375893319
s_li_31_N;-54.527874453
;
s_li_32;-420.270078810
s_li_32_Li;-7.478298460
s_li_32_S_cation;-397.293303512
;
s_li_33;-1378.260377540
s_li_33_H;-0.499946081761
s_li_33_Li;-7.478297071
s_li_33_P_cation;-340.443362085
s_li_33_P;-340.829848718
;
s_li_34;-255.290693540
s_li_34_H;-0.499946081761
s_li_34_Li;-7.478296748
s_li_34_C_cation;-37.375882943
s_li_34_C;-37.788212912
s_li_34_N;-54.527852403
;
s_li_35;-1603.255161800
s_li_35_H;-0.499946081761
s_li_35_Li;-7.478297333
s_li_35_S_cation;-397.293169628
s_li_35_S;-397.672786953
;
s_li_36;-120.401929390
s_li_36_H;-0.499946081761
s_li_36_Li;-7.478296885
s_li_36_N;-54.527863467
;
s_be_1;-16.534445190
s_be_1_H_anion;-0.513835210
s_be_1_H;-0.499946081761
s_be_1_Be;-14.675972003
;
s_be_2;-73.041888680
s_be_2_H_anion;-0.513835210
s_be_2_H;-0.499946081761
