System;PNO-LCCSD(T)-F12b;wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c;;Number of atoms
s_li_1;693.503;697.109;696.070;695.838;694.858;694.641;703.692;702.710;695.132;700.255;;9
s_li_2;119.495;120.850;117.205;124.736;118.371;117.082;118.873;134.996;127.315;155.077;;3
s_li_3;611.418;618.055;601.373;614.930;612.056;605.011;624.310;617.273;610.126;604.403;;9
s_li_4;709.703;717.737;697.528;714.800;709.451;707.511;727.428;714.783;709.943;707.930;;11
s_li_5;957.433;960.573;943.866;953.860;962.185;951.599;972.375;956.676;958.301;948.788;;10
s_li_6;1720.750;1731.546;1730.225;1722.201;1724.438;1725.376;1805.040;1729.234;1731.182;1714.515;;19
s_li_7;1751.523;1762.618;1765.133;1760.245;1757.699;1761.471;1842.481;1760.954;1760.985;1750.159;;19
s_li_8;1232.906;1237.239;1240.119;1233.100;1232.874;1235.926;1253.161;1241.126;1237.070;1243.245;;14
s_li_9;461.719;464.067;455.029;462.341;461.371;457.991;459.191;468.115;464.638;459.743;;7
s_li_10;433.758;431.385;430.675;429.919;433.438;427.345;441.845;431.605;429.311;427.562;;6
s_li_11;206.430;207.115;197.577;206.318;205.249;199.574;210.567;199.318;208.253;195.190;;4
s_li_12;239.988;240.777;233.203;230.182;241.304;237.096;240.012;252.003;238.684;232.352;;4
s_li_13;672.137;666.141;645.669;653.376;671.224;658.273;657.931;658.691;665.491;658.330;;8
s_li_14;1556.342;1562.582;1550.296;1555.946;1562.215;1554.553;1565.447;1558.507;1565.593;1564.162;;20
s_li_15;532.629;482.661;525.641;539.257;537.896;518.036;570.500;536.161;541.601;506.346;;8
s_li_16;328.309;325.156;317.665;320.072;330.818;320.594;330.915;318.124;313.746;320.341;;7
s_li_17;1817.941;1827.836;1790.175;1828.682;1822.108;1789.514;1838.202;1801.320;1826.963;1785.431;;24
s_li_18;184.360;168.523;171.746;163.171;178.208;167.831;178.252;173.338;136.753;167.526;;8
s_li_19;371.705;372.572;370.907;369.410;373.003;370.281;382.276;379.043;373.355;369.385;;4
s_li_20;356.380;358.173;353.679;356.774;356.518;355.164;358.168;360.047;358.411;357.114;;5
s_li_21;536.771;533.886;516.385;517.615;532.744;525.455;519.422;535.080;531.053;521.908;;8
s_li_22;1419.763;1421.616;1423.242;1414.426;1417.893;1420.520;1449.768;1430.434;1420.921;1425.066;;15
s_li_23;308.137;309.162;297.851;307.130;304.788;302.523;305.444;310.039;307.811;303.378;;5
s_li_24;175.823;173.696;162.883;171.465;172.696;168.879;176.427;159.351;173.403;164.958;;3
s_li_25;454.350;456.061;452.274;451.088;454.153;453.591;458.369;463.871;455.833;452.877;;6
s_li_26;1074.145;1077.970;1052.175;1070.541;1072.301;1070.172;1108.651;1095.016;1078.785;1060.343;;16
s_li_27;1977.625;1985.021;2019.006;1970.688;1987.944;1999.897;2069.672;2014.592;1990.701;1999.497;;18
s_li_28;1306.391;1312.111;1330.985;1308.564;1310.403;1319.359;1357.564;1324.658;1313.149;1322.400;;12
s_li_29;515.952;509.938;504.386;508.500;511.640;508.645;512.665;508.933;508.448;507.380;;5
s_li_30;2928.598;2944.693;2987.129;2937.228;2939.271;2968.901;3034.806;2976.482;2944.609;2977.816;;25
s_li_31;483.238;486.990;486.075;487.141;484.537;488.810;500.721;523.807;486.819;486.673;;4
s_li_32;340.035;342.504;330.982;333.512;342.494;336.567;333.242;333.327;337.242;333.617;;4
s_li_33;1160.779;1168.911;1147.049;1169.968;1159.424;1157.583;1151.639;1153.380;1166.975;1152.996;;17
s_li_34;1415.711;1425.634;1445.637;1426.257;1421.622;1438.037;1475.796;1465.631;1425.940;1438.692;;12
s_li_35;919.782;928.391;908.564;917.858;916.520;917.522;917.837;890.748;927.392;909.086;;13
s_li_36;858.543;859.717;852.403;862.187;853.781;850.889;864.203;849.815;857.408;849.203;;9
s_be_1;216.331;217.766;219.958;225.863;217.883;223.003;220.194;230.999;221.534;262.403;;4
s_be_2;517.358;520.980;519.300;528.056;517.359;521.665;526.790;533.905;527.807;558.365;;8
